0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
43,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB714,Web tervezés,Kötelező,,,,,2,2,,TE-IB714e,Webtervezés,Kötelező,,,IB714e,Web tervezés,2,2,,IB714e,Web tervezés,Kötelező,Kollokvium Jó (4) 2021.05.26.,1,,,,,,,,,,,,
44,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,6,2,,TT-IB204,Programozás I.,Kötelező,,,,,3,2,,TE-IB204E,Programozás I.,Kötelező,,,IB204E-00001,Programozás I.,3,2,,IB204E-00001,Programozás I.,Kötelezően választható,Kollokvium Jeles (5) 2021.05.28.,1,,,,,,,,,,,,
45,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB042,Digitális képfeldolgozás,Kötelező,,,,,2,4,,TE-IB042e,Digitális képfeldolgozás,Kötelező,,,IB042e,Digitális képfeldolgozás,2,4,,IB042e,Digitális képfeldolgozás,Kötelezően választható,,1,,,,,,,,,,,,
46,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,6,2,,TT-IB204,Programozás I.,Kötelező,,,,,3,2,,TE-IB204L,Programozás I.,Kötelező,,,IB204L,Programozás I. gyak.,3,2,,IB204L,Programozás I. gyak.,Kötelezően választható,Gyakorlati jegy Elégséges (2) 2021.05.25.,1,,,,,,,,,,,,
47,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,3,6,,TT-IB716,Információbiztonság,Kötelező,,,,,1,6,,TE-IB716L,Információbiztonság,Kötelező,,,IB716L,Információbiztonság ,1,6,,IB716L,Információbiztonság ,Kötelező,Gyakorlati jegy Jeles (5) 2023.05.09.,1,,,,,,,,,,,,
48,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB402,Operációs rendszerek,Kötelező,,,,,2,2,,TE-IB402g,Operációs rendszerek,Kötelező,,,IB402g,Operációs rendszerek gyak. ,2,2,,IB402g,Operációs rendszerek gyak. ,Kötelezően választható,Gyakorlati jegy Jeles (5) 2021.05.11.,1,,,,,,,,,,,,
49,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,3,1,,TT-IB162,Számítógép architektúrák,Kötelező,,,,,3,1,,TE-IB162E,Számítógép architektúrák,Kötelező,,,IB162E,Számítógép architektúrák,3,1,,IB162E,Számítógép architektúrák,Kötelező,Kollokvium Közepes (3) 2020.12.18.,1,,,,,,,,,,,,
50,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB405,Programozási nyelvek,Kötelező,,,,,2,4,,TE-IB405e,Programozási nyelvek,Kötelező,,,IB405e,Programozási nyelvek,2,4,,IB405e,Programozási nyelvek,Kötelező,Kollokvium Közepes (3) 2022.06.03.,1,,,,,,,,,,,,
51,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,,,TT-IB407,Számítógép-hálózatok,Kötelező,,,,,2,1,,TE-IB407g,Számítógép-hálózatok,Kötelező,,,IB407g,Számítógép hálózatok gyak.,2,1,,IB407g,Számítógép hálózatok gyak.,Kötelező,Gyakorlati jegy Közepes (3) 2020.12.13.,1,,,,,,,,,,,,
52,,,52,,,MK-SZT,Kötelező informatikai ismeretek,Kötelező,,,,,4,3,,TT-IB501,Adatbázisok,Kötelező,,,,,2,3,,TE-IB501e,Adatbázisok,Kötelező,,,IB501e,Adatbázisok,2,3,,IB501e,Adatbázisok,Kötelező,Kollokvium Közepes (3) 2022.01.13.,1,,,,,,,,,,,,
